QuikTrip,904 S Vandeventer Ave,Saint Louis Downtown,63110,MO,Gas Stations/Convenience Stores,38.6283907,-90.24617418
U Gas,3225 Hampton Ave,Saint Louis,63139,MO,Gas Stations/Convenience Stores,38.60387,-90.292
BP,300 S Jefferson,Saint Louis,63103,MO,Gas Stations/Convenience Stores,38.6279716,-90.2165527
Shell,721 N Tucker Blvd,Saint Louis,63101,MO,Gas Stations/Convenience Stores,38.63305,-90.19665
Phillips 66,4251 Lindell Blvd,Saint Louis,63108,MO,Gas Stations/Convenience Stores,38.64124,-90.25011
Phillips 66,1647 S Jefferson Ave,Saint Louis,63104,MO,Gas Stations/Convenience Stores,38.61517711,-90.22135735
Joel's Shell Food Mart,1815 Arsenal St,Saint Louis,63118,MO,Gas Stations/Convenience Stores,38.59723,-90.21721
QuikTrip,3291 S Kingshighway Blvd,St Louis Downtown,63139,MO,Gas Stations/Convenience Stores,38.6004971,-90.2705598
BP,1104 Hampton Ave,Saint Louis,63139,MO,Gas Stations/Convenience Stores,38.62914,-90.28684
Kingshighway & Manchester Amoco,1187 S Kingshighway Blvd,Saint Louis,63110,MO,Gas Stations/Convenience Stores,38.62611,-90.2653799
Jefferson B P Gas Station,3258 S Jefferson Ave,Saint Louis,63118,MO,Gas Stations/Convenience Stores,38.59519986,-90.22472151
Gas Mart,3282 Jamieson Ave,Saint Louis,63139,MO,Gas Stations/Convenience Stores,38.60389,-90.3072
Bates Amoco,504 Bates St,Saint Louis,63111,MO,Gas Stations/Convenience Stores,38.56418,-90.24668
Circle K,35 S Grand Blvd,Saint Louis,63103,MO,Gas Stations/Convenience Stores,38.63365,-90.23441
Gas Mart,6901 Hampton Ave,Saint Louis,63109,MO,Gas Stations/Convenience Stores,38.57385,-90.29516
Circle K,8200 S Broadway,Saint Louis,63111,MO,Gas Stations/Convenience Stores,38.54263,-90.26286
Crown Mart 7 Inc,1515 N 13th St,Saint Louis,63106,MO,Gas Stations/Convenience Stores,38.64165736,-90.19452453
Overturf Bp Amoco,902 S Broadway,Saint Louis,63102,MO,Gas Stations/Convenience Stores,38.61775,-90.19283
Marketing Energy,710 Russell Blvd,Saint Louis,63104,MO,Gas Stations/Convenience Stores,38.60593,-90.20394
Circle K,1514 Hampton Ave,Saint Louis,63139,MO,Gas Stations/Convenience Stores,38.62368,-90.28743
Safa Bp,1110 Salisbury St,Saint Louis,63107,MO,Gas Stations/Convenience Stores,38.6614099,-90.19802
