Zip,Business Category,Count
63101,Banks & Credit Unions,1
63101,Child Care & Day Care,1
63101,Coffee & Tea,2
63101,Fast Food,3
63101,Gas Stations/Convenience Stores,1
63101,Grocery,1
63101,Hospitals/Urgent Care,1
63101,Hotels,6
63101,Pharmacy,1
63101,Restaurant,5
63101,Venues & Event Spaces,1
63102,Banks & Credit Unions,1
63102,Coffee & Tea,2
63102,Fast Food,2
63102,Gas Stations/Convenience Stores,1
63102,Hotels,12
63102,Restaurant,2
63103,Bed & Breakfast,1
63103,Child Care & Day Care,3
63103,Coffee & Tea,1
63103,Colleges & Universities,3
63103,Fast Food,1
63103,Gas Stations/Convenience Stores,2
63103,Grocery,1
63103,Hotels,7
63103,Pawn Shops,1
63103,Restaurant,6
63104,Bed & Breakfast,4
63104,Check Cashing/Pay-day Loans,1
63104,Child Care & Day Care,2
63104,Coffee & Tea,1
63104,Colleges & Universities,1
63104,Department Stores,1
63104,Fast Food,5
63104,Gas Stations/Convenience Stores,2
63104,Grocery,4
63104,Hospitals/Urgent Care,1
63104,Hotels,1
63104,Pharmacy,2
63104,Restaurant,6
63106,Colleges & Universities,1
63106,Gas Stations/Convenience Stores,1
63106,Pharmacy,1
63107,Gas Stations/Convenience Stores,1
63108,Banks & Credit Unions,4
63108,Child Care & Day Care,1
63108,Coffee & Tea,2
63108,Colleges & Universities,1
63108,Fast Food,6
63108,Gas Stations/Convenience Stores,1
63108,Grocery,4
63108,Hospitals/Urgent Care,3
63108,Hotels,3
63108,Pharmacy,6
63108,Restaurant,5
63109,Banks & Credit Unions,4
63109,Child Care & Day Care,1
63109,Coffee & Tea,3
63109,Department Stores,2
63109,Fast Food,2
63109,Gas Stations/Convenience Stores,1
63109,Grocery,2
63109,Hospitals/Urgent Care,2
63109,Pharmacy,3
63109,Restaurant,4
63110,Banks & Credit Unions,2
63110,Child Care & Day Care,1
63110,Coffee & Tea,1
63110,Colleges & Universities,3
63110,Fast Food,1
63110,Gas Stations/Convenience Stores,2
63110,Grocery,4
63110,Hospitals/Urgent Care,5
63110,Hotels,2
63110,Pharmacy,1
63110,Restaurant,2
63111,Banks & Credit Unions,1
63111,Child Care & Day Care,1
63111,Coffee & Tea,1
63111,Fast Food,2
63111,Gas Stations/Convenience Stores,2
63111,Grocery,2
63111,Pharmacy,1
63111,Restaurant,1
63112,Child Care & Day Care,2
63112,Colleges & Universities,1
63112,Fast Food,1
63112,Hotels,1
63113,Grocery,1
63113,Title Loans,1
63115,Fast Food,4
63115,Pharmacy,1
63116,Banks & Credit Unions,1
63116,Child Care & Day Care,1
63116,Department Stores,2
63116,Fast Food,2
63116,Grocery,5
63116,Pharmacy,3
63116,Restaurant,3
63116,Title Loans,1
63118,Banks & Credit Unions,3
63118,Fast Food,2
63118,Gas Stations/Convenience Stores,2
63118,Grocery,5
63118,Hospitals/Urgent Care,2
63118,Pawn Shops,1
63118,Pharmacy,1
63118,Restaurant,1
63139,Banks & Credit Unions,1
63139,Check Cashing/Pay-day Loans,1
63139,Child Care & Day Care,5
63139,Colleges & Universities,1
63139,Department Stores,1
63139,Fast Food,7
63139,Gas Stations/Convenience Stores,5
63139,Grocery,2
63139,Hospitals/Urgent Care,2
63139,Hotels,1
63139,Pharmacy,4
63139,Restaurant,2
63147,Fast Food,1
